community_id,total_doctors_in_community,total_orgs_in_community,total_shared_doctors_in_community,zip,cty,st,lat,long
158,1874,67,427,37206,NASHVILLE,TN,36.180806,-86.74176
159,3053,66,216,75204,DALLAS,TX,32.800333,-96.78952
160,1917,57,413,14618,ROCHESTER,NY,43.116713,-77.55904
161,732,56,91,83202,POCATELLO,ID,42.96866,-112.43182
162,1790,59,99,78229,SAN ANTONIO,TX,29.499454,-98.57166
163,2757,67,560,48446,LAPEER,MI,43.048777,-83.33073
164,1635,50,119,76502,TEMPLE,TX,31.086483,-97.40076
165,88,10,54,00716,PONCE,PR,17.999066,-66.59965
166,1737,62,238,75482,SULPHUR SPRINGS,TX,33.143752,-95.60102
167,1081,27,62,76528,GATESVILLE,TX,31.43211,-97.72602
168,1284,65,149,59102,BILLINGS,MT,45.778852,-108.5742
169,3797,34,315,18901,DOYLESTOWN,PA,40.317473,-75.12854
170,5572,119,628,30322,ATLANTA,GA,33.793754,-84.3238
171,1822,181,339,79316,BROWNFIELD,TX,33.153528,-102.29568
172,2340,86,131,77070,HOUSTON,TX,29.978801,-95.57655
173,1432,107,206,67214,WICHITA,KS,37.705384,-97.31777
174,9997,209,597,28501,KINSTON,NC,35.260895,-77.56469
175,1183,37,154,62839,FLORA,IL,38.667752,-88.48855
176,365,46,53,20010,WASHINGTON,DC,38.933311,-77.02929
177,30,3,3,46202,INDIANAPOLIS,IN,39.782842,-86.15673
178,4222,138,302,87120,ALBUQUERQUE,NM,35.146144,-106.70851
179,30,4,6,07470,WAYNE,NJ,40.943608,-74.25004
180,552,30,92,31324,RICHMOND HILL,GA,31.906365,-81.3108
181,23,3,16,60002,ANTIOCH,IL,42.46617,-88.09995
182,756,42,69,28739,HENDERSONVILLE,NC,35.290454,-82.50652
183,12,3,2,71901,HOT SPRINGS,AR,34.506487,-93.01941
184,1733,55,134,02118,BOSTON,MA,42.338724,-71.07276
185,819,63,91,74955,SALLISAW,OK,35.467031,-94.78647
186,1142,47,139,74066,SAPULPA,OK,35.996582,-96.1194
187,182,28,55,33990,CAPE CORAL,FL,26.63075,-81.95251
188,5,2,1,85255,SCOTTSDALE,AZ,33.697268,-111.88321
189,100,23,23,35043,CHELSEA,AL,33.317093,-86.66295
190,14,4,2,06811,DANBURY,CT,41.425594,-73.47006
191,33,3,3,87102,ALBUQUERQUE,NM,35.083946,-106.64792
192,1163,90,113,21502,CUMBERLAND,MD,39.646587,-78.77398
193,41,11,9,07066,CLARK,NJ,40.620336,-74.30934
194,2843,62,280,07112,NEWARK,NJ,40.711651,-74.21303
195,324,28,47,67601,HAYS,KS,38.881082,-99.32559
196,127,30,27,70816,BATON ROUGE,LA,30.425791,-91.03815
197,6,3,4,40422,DANVILLE,KY,37.644426,-84.78862
198,2123,125,338,33486,BOCA RATON,FL,26.344955,-80.11226
199,2782,98,293,03102,MANCHESTER,NH,42.990684,-71.4868
200,1047,111,138,00738,FAJARDO,PR,18.32265,-65.66116
201,12,4,5,72601,HARRISON,AR,36.236984,-93.09345
202,52,13,39,43215,COLUMBUS,OH,39.965131,-83.00431
203,3459,99,265,65616,BRANSON,MO,36.64417,-93.25668
204,10,2,2,01890,WINCHESTER,MA,42.451945,-71.14276
205,2701,27,536,21045,COLUMBIA,MD,39.207523,-76.82527
206,6,2,2,29732,ROCK HILL,SC,34.969427,-81.0509
207,1803,75,101,06902,STAMFORD,CT,41.047996,-73.53688
208,2279,121,269,37211,NASHVILLE,TN,36.079259,-86.72584
209,5421,159,468,40324,GEORGETOWN,KY,38.221179,-84.55465
210,3432,92,254,11355,FLUSHING,NY,40.749463,-73.81941
211,2469,75,233,05401,BURLINGTON,VT,44.484038,-73.22126
212,2214,108,279,93720,FRESNO,CA,36.865587,-119.75917
213,12,2,1,76104,FORT WORTH,TX,32.730265,-97.32002
214,2095,110,276,70808,BATON ROUGE,LA,30.411391,-91.1497
215,2391,126,193,89106,LAS VEGAS,NV,36.184219,-115.16292
216,14,5,10,77304,CONROE,TX,30.33146,-95.50703
217,163,2,52,33625,TAMPA,FL,28.069755,-82.55734
218,809,34,106,33484,DELRAY BEACH,FL,26.458152,-80.1356
219,705,48,101,42303,OWENSBORO,KY,37.758568,-87.08714
220,421,36,39,97423,COQUILLE,OR,43.187219,-124.16396
221,168,26,25,07470,WAYNE,NJ,40.943608,-74.25004
222,3,2,1,39120,NATCHEZ,MS,31.535545,-91.35434
223,1043,107,157,71449,MANY,LA,31.514631,-93.54869
224,2339,70,257,32960,VERO BEACH,FL,27.636828,-80.40294
225,734,47,135,40504,LEXINGTON,KY,38.039322,-84.54259
226,2019,44,145,46804,FORT WAYNE,IN,41.054247,-85.23878
227,9,2,1,07656,PARK RIDGE,NJ,41.034672,-74.04065
228,9,4,5,60014,CHICAGO,IL,42.226623,-88.33066
229,1950,80,196,74012,BROKEN ARROW,OK,36.045907,-95.80694
230,235,14,93,74012,BROKEN ARROW,OK,36.045907,-95.80694
231,535,58,113,78259,SAN ANTONIO,TX,29.627332,-98.42781
232,6,3,2,50622,DENVER,IA,42.671132,-92.33825
233,2003,187,312,35758,MADISON,AL,34.715065,-86.73964
234,433,40,89,77055,HOUSTON,TX,29.798877,-95.49629
235,2352,83,197,38019,COVINGTON,TN,35.560622,-89.64201
236,4627,83,346,63128,SAINT LOUIS,MO,38.500734,-90.37113
237,973,35,126,38024,DYERSBURG,TN,36.038042,-89.38613
238,1722,50,195,37604,JOHNSON CITY,TN,36.312633,-82.3802
239,786,46,102,31602,VALDOSTA,GA,30.866613,-83.30078
240,2191,74,212,65201,COLUMBIA,MO,38.926838,-92.29003
241,936,39,131,38019,COVINGTON,TN,35.560622,-89.64201
242,4965,95,345,17543,LITITZ,PA,40.164049,-76.29946
243,4052,77,349,29646,GREENWOOD,SC,34.169781,-82.15474
244,3843,45,274,54301,GREEN BAY,WI,44.489059,-88.01674
245,907,46,109,43055,NEWARK,OH,40.079115,-82.40054
246,2260,79,213,25304,CHARLESTON,WV,38.313411,-81.58564
247,6307,143,532,46202,INDIANAPOLIS,IN,39.782842,-86.15673
248,6306,135,432,30060,MARIETTA,GA,33.932052,-84.54746
249,932,65,128,19801,WILMINGTON,DE,39.738563,-75.54833
250,5340,123,412,40504,LEXINGTON,KY,38.039322,-84.54259
251,971,58,117,36330,ENTERPRISE,AL,31.32579,-85.84117
252,4,2,1,60089,BUFFALO GROVE,IL,42.167638,-87.96393
253,1239,93,89,21061,GLEN BURNIE,MD,39.164158,-76.6306
254,5508,176,483,90505,TORRANCE,CA,33.810848,-118.35096
255,942,42,95,30809,EVANS,GA,33.551145,-82.13949
256,836,20,611,29223,COLUMBIA,SC,34.084069,-80.93286
257,8,2,2,20816,BETHESDA,MD,38.958377,-77.11425
258,6,2,1,78641,LEANDER,TX,30.547001,-97.87006
259,556,33,57,43920,EAST LIVERPOOL,OH,40.641545,-80.57469
260,7,3,2,46323,HAMMOND,IN,41.587718,-87.45528
261,6,2,1,81005,PUEBLO,CO,38.235865,-104.66972
262,4,2,2,91362,WESTLAKE VILLAGE,CA,34.190804,-118.83704
263,13,3,5,33445,DELRAY BEACH,FL,26.459571,-80.10582
264,25,3,2,34655,TRINITY,FL,28.209833,-82.66973
265,1762,101,242,08820,EDISON,NJ,40.575503,-74.35781
266,2676,127,134,10461,BRONX,NY,40.842917,-73.83819
267,40,12,30,20815,CHEVY CHASE,MD,38.97986,-77.08079
268,3,2,1,73109,OKLAHOMA CITY,OK,35.43366,-97.52496
269,1843,56,350,93534,LANCASTER,CA,34.698696,-118.15015
270,549,29,72,24740,PRINCETON,WV,37.368167,-81.07307
271,1951,95,733,60605,CHICAGO,IL,41.860019,-87.6187
272,22,2,1,77070,HOUSTON,TX,29.978801,-95.57655
273,10,2,1,30265,NEWNAN,GA,33.400875,-84.71206
274,812,20,106,89106,LAS VEGAS,NV,36.184219,-115.16292
275,13,3,1,28405,WILMINGTON,NC,34.254235,-77.87251
276,4666,154,447,35244,HOOVER,AL,33.356981,-86.81577
277,227,23,43,35209,BIRMINGHAM,AL,33.468306,-86.80814
278,440,22,68,72401,JONESBORO,AR,35.844795,-90.68443
279,1101,57,129,63640,FARMINGTON,MO,37.779206,-90.41404
280,777,58,77,33607,TAMPA,FL,27.963798,-82.49537
281,3650,81,279,92024,ENCINITAS,CA,33.053092,-117.26855
282,702,42,108,85374,SURPRISE,AZ,33.643508,-112.38502
283,20,6,5,89103,LAS VEGAS,NV,36.113211,-115.21849
284,660,35,101,59901,KALISPELL,MT,48.201414,-114.32202
285,2072,73,187,83706,BOISE,ID,43.593523,-116.19903
286,8,2,1,32940,MELBOURNE,FL,28.21981,-80.69402
287,4080,100,161,11355,FLUSHING,NY,40.749463,-73.81941
288,957,62,81,97045,OREGON CITY,OR,45.344246,-122.58464
289,2120,35,150,10463,BRONX,NY,40.881086,-73.90749
290,2419,99,246,85013,PHOENIX,AZ,33.50711,-112.08483
291,16,6,6,70538,FRANKLIN,LA,29.759314,-91.52561
292,655,48,67,93301,BAKERSFIELD,CA,35.381408,-119.01935
293,3396,94,244,76104,FORT WORTH,TX,32.730265,-97.32002
294,1106,24,44,34202,LAKEWOOD RANCH,FL,27.434755,-82.40211
295,4569,102,319,27103,WINSTON SALEM,NC,36.066545,-80.30733
296,543,51,131,89052,HENDERSON,NV,35.979863,-115.09895
297,636,63,73,48867,OWOSSO,MI,42.99605,-84.17896
298,3219,48,536,60031,GURNEE,IL,42.375821,-87.93517
299,23,2,3,33426,BOYNTON BEACH,FL,26.529581,-80.08226
300,3,2,1,30013,CONYERS,GA,33.633685,-83.98382
301,1008,46,227,08901,NEW BRUNSWICK,NJ,40.488304,-74.44775
302,1957,124,217,80538,LOVELAND,CO,40.435645,-105.08726
303,553,34,82,33431,BOCA RATON,FL,26.381304,-80.09623
304,693,16,85,29440,GEORGETOWN,SC,33.38934,-79.32638
305,803,49,86,16066,CRANBERRY TOWNSHIP,PA,40.700423,-80.11374
306,2215,58,172,83642,MERIDIAN,ID,43.609434,-116.39642
307,3,2,1,37043,CLARKSVILLE,TN,36.506407,-87.2572
308,2696,43,639,03820,DOVER,NH,43.190984,-70.88787
309,142,13,11,34239,SARASOTA,FL,27.310924,-82.5213
310,185,13,66,30458,STATESBORO,GA,32.423083,-81.80677
311,3548,185,520,34748,LEESBURG,FL,28.797245,-81.88466
312,853,60,93,60068,PARK RIDGE,IL,42.01183,-87.84158
313,2068,57,231,17013,CARLISLE,PA,40.203458,-77.19987
314,79,13,14,70433,COVINGTON,LA,30.470793,-90.10491
315,2612,155,368,78411,CORPUS CHRISTI,TX,27.733058,-97.38542
316,793,45,74,79424,LUBBOCK,TX,33.513337,-101.93239
